NAMESPACE                 NAME                                                     ADDRESSTYPE   PORTS                         ENDPOINTS                                            AGE
manifold-mcp              manifold-valkey-kimsufi-replica-c2lpv                    IPv4          6379                          10.244.7.188                                         11d
matrix                    element-web-6gl94                                        IPv4          80                            10.244.7.59                                          21d
matrix                    matrix-db-r-8rlbp                                        IPv4          <unset>                       <unset>                                              21d
matrix                    matrix-db-ro-7mjg4                                       IPv4          <unset>                       <unset>                                              21d
matrix                    matrix-db-rw-fvndr                                       IPv4          <unset>                       <unset>                                              21d
matrix                    matrix-synapse-j7w6z                                     IPv4          <unset>                       <unset>                                              21d
matrix                    matrix-synapse-redis-headless-ps8gg                      IPv4          6379                          10.244.7.29                                          21d
matrix                    matrix-synapse-redis-master-gnkbd                        IPv4          6379                          10.244.7.29                                          21d
matrix                    matrix-synapse-replication-5pk4p                         IPv4          <unset>                       <unset>                                              21d
monitoring                alertmanager-operated-k462g                              IPv4          9094,9094,9093                10.244.8.31,10.244.7.239                             50d
monitoring                alloy-5bmc5                                              IPv4          12345,4318                    10.244.9.148                                         50d
monitoring                grafana-alerting-8xpbx                                   IPv4          9094                          10.244.9.160                                         21d
monitoring                grafana-db-ovh-r-wzgns                                   IPv4          5432                          10.244.8.102,10.244.7.218                            8d
monitoring                grafana-db-ovh-ro-4xql4                                  IPv4          5432                          10.244.8.102                                         8d
monitoring                grafana-db-ovh-rw-9b5ts                                  IPv4          5432                          10.244.7.218                                         8d
monitoring                grafana-operator-metrics-service-pwwhs                   IPv4          8888,9090                     10.244.7.2                                           49d
monitoring                grafana-service-557x9                                    IPv4          3000                          10.244.9.160                                         21d
monitoring                kube-state-metrics-97smj                                 IPv4          8080                          10.244.9.192                                         50d
monitoring                mimir-compactor-2v9lv                                    IPv4          9095,8080                     10.244.0.252                                         50d
monitoring                mimir-distributor-headless-lgzcm                         IPv4          9095,8080                     10.244.9.100                                         50d
monitoring                mimir-distributor-trjzk                                  IPv4          9095,8080                     10.244.9.100                                         50d
monitoring                mimir-gateway-brtrx                                      IPv4          8080,8080                     10.244.7.36                                          50d
monitoring                mimir-gossip-ring-dn89g                                  IPv4          7946                          10.244.9.100,10.244.8.121,10.244.0.252 + 4 more...   50d
monitoring                mimir-ingester-headless-hkkls                            IPv4          9095,8080                     10.244.8.121,10.244.7.177                            50d
monitoring                mimir-ingester-md4pg                                     IPv4          9095,8080                     10.244.8.121,10.244.7.177                            50d
monitoring                mimir-querier-cszwm                                      IPv4          9095,8080                     10.244.1.106                                         50d
monitoring                mimir-query-frontend-cfdhd                               IPv4          9095,8080                     10.244.9.224                                         50d
monitoring                mimir-query-scheduler-86pv6                              IPv4          9095,8080                     10.244.9.203                                         50d
monitoring                mimir-query-scheduler-headless-jkfzw                     IPv4          9095,8080                     10.244.9.203                                         50d
monitoring                mimir-ruler-5cnl6                                        IPv4          8080                          10.244.7.246                                         50d
monitoring                mimir-store-gateway-dkbct                                IPv4          9095,8080                     10.244.1.241                                         50d
monitoring                mimir-store-gateway-headless-ldzxl                       IPv4          9095,8080                     10.244.1.241                                         50d
monitoring                monitoring-alertmanager-d7gfn                            IPv4          8080,9093                     10.244.8.31,10.244.7.239                             50d
monitoring                monitoring-operator-zkhxq                                IPv4          10250                         10.244.7.178                                         50d
monitoring                prometheus-node-exporter-2cnll                           IPv4          9100                          10.42.0.15,10.42.0.30,10.42.0.16 + 3 more...         50d
monitoring                tempo-vvvfd                                              IPv4          14268,9411,6831 + 8 more...   10.244.1.127                                         50d
nix-cache                 attic-7kcrn                                              IPv4          8080                          10.244.9.251                                         50d
nix-cache                 attic-db-r-nttz9                                         IPv4          5432                          10.244.8.152,10.244.7.206                            13d
nix-cache                 attic-db-ro-nz6k6                                        IPv4          5432                          10.244.8.152                                         13d
nix-cache                 attic-db-rw-lzrw4                                        IPv4          5432                          10.244.7.206                                         13d
ollama                    ollama-tnvww                                             IPv4          <unset>                       <unset>                                              41d
openebs                   openebs-lvm-localpv-node-service-gj692                   IPv4          <unset>                       <unset>                                              50d
openhands                 openhands-vz2rr                                          IPv4          <unset>                       <unset>                                              21d
plaid-mcp                 plaid-db-mcp-d8qrw                                       IPv4          8765                          10.244.0.119                                         11h
plaid-mcp                 plaid-mcp-9gknv                                          IPv4          8080                          10.244.0.192                                         11h
plaid-mcp                 plaid-mcp-db-r-j749g                                     IPv4          5432                          10.244.1.184,10.244.0.225                            11h
plaid-mcp                 plaid-mcp-db-ro-xd2ts                                    IPv4          5432                          10.244.1.184                                         11h
plaid-mcp                 plaid-mcp-db-rw-c4rzp                                    IPv4          5432                          10.244.0.225                                         11h
plaid-mcp                 plaid-valkey-kimsufi-additional-b44cd                    IPv4          6379                          10.244.0.19,10.244.8.254                             11h
plaid-mcp                 plaid-valkey-kimsufi-headless-jlpb7                      IPv4          6379                          10.244.0.19,10.244.8.254                             11h
plaid-mcp                 plaid-valkey-kimsufi-klqht                               IPv4          6379                          10.244.0.19,10.244.8.254                             11h
plaid-mcp                 plaid-valkey-kimsufi-master-gsvc2                        IPv4          6379                          10.244.0.19                                          11h
plaid-mcp                 plaid-valkey-kimsufi-replica-l6btv                       IPv4          6379                          10.244.8.254                                         11h
postscanmail-mcp          postscanmail-mcp-bcqxq                                   IPv4          8765                          10.244.0.90                                          41h
postscanmail-mcp          postscanmail-valkey-kimsufi-8bzbn                        IPv4          6379                          10.244.0.46,10.244.1.250                             41h
postscanmail-mcp          postscanmail-valkey-kimsufi-additional-lbq7r             IPv4          6379                          10.244.0.46,10.244.1.250                             41h
postscanmail-mcp          postscanmail-valkey-kimsufi-headless-l7572               IPv4          6379                          10.244.0.46,10.244.1.250                             41h
postscanmail-mcp          postscanmail-valkey-kimsufi-master-zq7zr                 IPv4          6379                          10.244.0.46                                          41h
postscanmail-mcp          postscanmail-valkey-kimsufi-replica-qh2m4                IPv4          6379                          10.244.1.250                                         41h
props                     props-db-r-t2fgf                                         IPv4          <unset>                       <unset>                                              21d
props                     props-db-ro-lcvph                                        IPv4          <unset>                       <unset>                                              21d
props                     props-db-rw-wmk4s                                        IPv4          <unset>                       <unset>                                              21d
props                     props-x2ckt                                              IPv4          <unset>                       <unset>                                              21d
proxmox-proxy             proxmox-proxy-kql9f                                      IPv4          <unset>                       <unset>                                              50d
seaweedfs                 drivefs-artifacts-s3-2t6r4                               IPv4          9327,8333                     10.244.1.201,10.244.0.185                            38h
seaweedfs                 seaweedfs-filer-7q695                                    IPv4          8888,18888,9326               10.244.0.11                                          15d
seaweedfs                 seaweedfs-filer-db-r-hd78k                               IPv4          5432                          10.244.8.35,10.244.7.63                              4d8h
seaweedfs                 seaweedfs-filer-db-ro-7x65t                              IPv4          5432                          10.244.8.35                                          4d8h
seaweedfs                 seaweedfs-filer-db-rw-jqgrc                              IPv4          5432                          10.244.7.63                                          4d8h
seaweedfs                 seaweedfs-filer-peer-c49d6                               IPv4          8888,18888,9326               10.244.0.11                                          15d
seaweedfs                 seaweedfs-master-8822z                                   IPv4          19333,9333,9321               10.244.1.132,10.244.8.182,10.244.0.248               15d
seaweedfs                 seaweedfs-master-peer-vxxxg                              IPv4          19333,9333,9321               10.244.1.132,10.244.8.182,10.244.0.248               15d
seaweedfs                 seaweedfs-operator-4vz8q                                 IPv4          8080                          10.244.7.192                                         15d
seaweedfs                 seaweedfs-s3-qfsdt                                       IPv4          9327,8333                     10.244.9.106,10.244.0.220                            15d
seaweedfs                 seaweedfs-volume-0-knpwl                                 IPv4          9325,18444,8444               10.244.8.148                                         15d
seaweedfs                 seaweedfs-volume-1-gtljv                                 IPv4          9325,18444,8444               10.244.7.123                                         15d
seaweedfs                 seaweedfs-volume-2-r24w5                                 IPv4          9325,18444,8444               10.244.9.50                                          4d7h
seaweedfs                 seaweedfs-volume-peer-9gj6z                              IPv4          9325,18444,8444               10.244.9.50,10.244.8.148,10.244.7.123                15d
seaweedfs                 vm-images-s3-89w4x                                       IPv4          9327,8333                     10.244.1.238,10.244.0.3                              2d3h
study-casino              study-casino-db-r-65qbk                                  IPv4          5432                          10.244.8.170,10.244.7.65                             15d
study-casino              study-casino-db-ro-l26xg                                 IPv4          5432                          10.244.8.170                                         15d
study-casino              study-casino-db-rw-vpx87                                 IPv4          5432                          10.244.7.65                                          15d
study-casino              study-casino-q58jz                                       IPv4          8080                          10.244.9.130                                         37d
tana-mcp                  mcp-valkey-ovh-additional-wd5cb                          IPv4          6379                          10.244.8.98,10.244.7.169                             11d
tana-mcp                  mcp-valkey-ovh-headless-lwjpv                            IPv4          6379                          10.244.8.98,10.244.7.169                             11d
tana-mcp                  mcp-valkey-ovh-master-7drcd                              IPv4          6379                          10.244.8.98                                          11d
tana-mcp                  mcp-valkey-ovh-q2vqc                                     IPv4          6379                          10.244.8.98,10.244.7.169                             11d
tana-mcp                  mcp-valkey-ovh-replica-9rh9g                             IPv4          6379                          10.244.7.169                                         11d
tana-mcp                  tana-mcp-facade-8psl7                                    IPv4          8765                          10.244.1.11                                          38d
tana-mcp                  tana-mcp-v4mx5                                           IPv4          8263,6080                     10.244.8.105                                         50d
tana-mcp                  volsync-rsync-tls-dst-tana-mcp-config-backup-gd5sp       IPv4          8000                          10.244.0.152                                         8d
thrive-scraper            thrive-webdav-gclzs                                      IPv4          <unset>                       <unset>                                              21d
tofu-state                tofu-state-db-ovh-r-f7g2c                                IPv4          5432                          10.244.8.159,10.244.7.89                             8d
tofu-state                tofu-state-db-ovh-ro-5fzkz                               IPv4          <unset>                       <unset>                                              8d
tofu-state                tofu-state-db-ovh-rw-k6xd5                               IPv4          5432                          10.244.8.159,10.244.7.89                             8d
volsync-system            volsync-metrics-sdzqw                                    IPv4          8443                          10.244.9.108                                         11d
website                   website-5sgnr                                            IPv4          8080                          10.244.9.70,10.244.7.200                             50d
